PART,MANUFACTURER,DESCRIPTION,CLASS,SYSTEM,COMPONENT,ASSEMBLY,ACTIVE,COMPLETE VMRS,COMPLETE CLASS,word_count,usable
23304EV360,HINO,"FILTER, FUEL, PRIMARY",FILTERS,44,2,2,Y,YES,YES,3,True
23381562,VOLVO,"FILTER, DEF FLUID",FILTERS,43,7,28,Y,YES,YES,3,True
23521528,DETROIT DIESEL CORP,"FILTER, FUEL, PRIMARY",FILTERS,44,2,2,Y,YES,YES,3,True
24009059,VOLVO,"FILTER, FUEL/WATER SEPARATOR",FILTERS,44,2,16,Y,YES,YES,3,True
24137737,VOLVO,"FILTER, FUEL, PRIMARY",FILTERS,44,2,2,Y,YES,YES,3,True
24210956,GENERAL MOTORS CORP,"FILTER, OIL, TRANSMISSION",FILTERS,27,36,8,Y,YES,YES,3,True
24211,WIX CORP,"FILTER, AIR, CABIN",FILTERS,1,1,219,Y,YES,YES,3,True
24236517,GENERAL MOTORS CORP,"FILTER, OIL, TRANSMISSION",FILTERS,27,36,8,Y,YES,YES,3,True
24236931,GENERAL MOTORS CORP,"FILTER, OIL, TRANSMISSION",FILTERS,27,36,8,Y,YES,YES,3,True
24283117,VOLVO,"FILTER, OIL, TRANSMISSION",FILTERS,27,36,8,Y,YES,YES,3,True
24419,WIX CORP,"FILTER, AIR, CABIN",FILTERS,1,1,219,Y,YES,YES,3,True
2510993C2,NAVISTAR,"FILTER, FUEL/WATER SEPARATOR",FILTERS,44,2,87,Y,YES,YES,3,True
2515573C1,NAVISTAR,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
2517298C1,NAVISTAR,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
2517315C91,NAVISTAR,"FILTER, A/C, RECEIVER/DRYER",FILTERS,1,1,438,Y,YES,YES,3,True
2517331C91,NAVISTAR,"MODULE, PARTICULATE FILTER",FILTERS,43,6,17,Y,YES,YES,3,True
2518086C1,NAVISTAR,"FILTER, SCREEN, DEF SENSOR",FILTERS,43,7,159,Y,YES,YES,4,True
2522414C91,NAVISTAR,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
2522821C1,NAVISTAR,"FILTER, A/C, RECEIVER/DRYER",FILTERS,1,1,438,Y,YES,YES,3,True
2522822C1,NAVISTAR,"FILTER, A/C, RECEIVER/DRYER",FILTERS,1,1,438,Y,YES,YES,3,True
2522824C1,NAVISTAR,"FILTER, A/C, RECEIVER/DRYER",FILTERS,1,1,438,Y,YES,YES,3,True
2523522C91,NAVISTAR,"FILTER, OIL, ENGINE",FILTERS,45,11,1,Y,YES,YES,3,True
2523635C91,NAVISTAR,"FILTER, FUEL, PRIMARY, KIT",FILTERS,44,2,19,Y,YES,YES,4,True
2523636C91,NAVISTAR,"FILTER, FUEL/WATER SEPARATOR",FILTERS,44,2,87,Y,YES,YES,3,True
25-26170-00,CARRIER CORP,"FILTER, FUEL, PRIMARY",FILTERS,82,39,12,Y,YES,YES,3,True
25-38666-16,CARRIER CORP,"FILTER, FUEL, BRASS SCREEN",FILTERS,82,39,8,Y,YES,YES,4,True
2602211C1,NAVISTAR,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
2604318C91,NAVISTAR,"FILTER, FUEL, KIT",FILTERS,44,2,19,Y,YES,YES,3,True
2606467C92,NAVISTAR,"FILTER, OIL, CENTRIFUGE KIT",FILTERS,45,11,67,Y,YES,YES,4,True
26-1689,AUTOCAR,"FILTER, AIR, CABIN",FILTERS,1,1,219,Y,YES,YES,3,True
270-180-01-09,MERCEDES-BENZ OF NA,"FILTER, OIL, ENGINE",FILTERS,45,11,5,Y,YES,YES,3,True
28181-2,AUTOCAR,"FILTER, DEF, KIT",FILTERS,43,7,159,Y,YES,YES,3,True
283102-01,MAXON,"FILTER, OIL, HYDRAULIC",FILTERS,55,10,151,Y,YES,YES,3,True
